ear_left,ear_right,ear_mean,ear_asymmetry,mar,mouth_width,mouth_height,corner_lift_left,corner_lift_right,corner_asymmetry,com_mej_left,com_mej_right,com_mej_mean,com_mej_asymmetry,brow_h_left,brow_h_right,brow_h_mean,ba,brow_angle_left,brow_angle_right,nose_width,philtrum_len,nasolabial_mean,d_0_1,d_0_2,d_0_3,d_0_4,d_0_5,d_0_6,d_0_7,d_0_8,d_0_9,d_1_2,d_1_3,d_1_4,d_1_5,d_1_6,d_1_7,d_1_8,d_1_9,d_2_3,d_2_4,d_2_5,d_2_6,d_2_7,d_2_8,d_2_9,d_3_4,d_3_5,d_3_6,d_3_7,d_3_8,d_3_9,d_4_5,d_4_6,d_4_7,d_4_8,d_4_9,d_5_6,d_5_7,d_5_8,d_5_9,d_6_7,d_6_8,d_6_9,d_7_8,d_7_9,d_8_9,label
0.5108024,0.3598756,0.435339,0.1509268,0.1599046,1.0151728,0.1623308,0.0221536,0.1000924,0.0779387,1.2918527,1.2636088,1.2777307,0.0282439,0.8894835,0.9120475,0.9007655,0.022564,1.1906398,1.5273035,0.550856,0.6092338,0.4585243,1.0,0.8894835,0.5736897,0.973993,1.4152387,0.9538386,1.1607554,1.9125721,1.0468193,0.549164,0.9120475,0.9534839,0.9757691,1.3743641,1.1483487,1.1101324,1.8336174,0.4983095,1.033859,1.4404207,1.5744141,1.4371486,1.5863156,1.8491167,1.0895373,1.6479468,1.4527533,1.4865533,1.9367893,1.5243954,0.9352077,0.9311611,0.6092338,1.9012639,1.8734398,1.0151728,0.5800453,1.2918527,1.9939276,0.5782012,2.0131772,1.2636088,1.7873195,1.7606704,2.3461384,alegria
0.4411674,0.1699308,0.3055491,0.2712366,0.3303863,0.82159,0.2714421,0.0097877,0.0686628,0.0588751,1.2661242,1.1543964,1.2102603,0.1117278,0.8509308,0.8834817,0.8672062,0.0325509,1.2071314,1.4603712,0.5329938,0.6134242,0.4730208,1.0,0.8509308,0.51462,0.8051743,1.2617742,0.870874,0.9620249,1.9100749,0.9708652,0.5205188,0.8834817,0.8461893,0.8371007,1.2285772,0.9470351,1.1086683,1.7125311,0.4853191,0.7810486,1.2495687,1.3933254,1.1656023,1.5694605,1.7254841,0.7513973,1.4169104,1.2616337,1.1720197,1.9246186,1.4421723,0.9483802,0.9045353,0.6134242,1.8825025,1.6830497,0.82159,0.4995194,1.2661242,1.7310271,0.4689386,1.8873935,1.1543964,1.6852471,1.523512,2.205342,alegria
0.4903131,0.3352814,0.4127972,0.1550317,0.0690389,0.6959379,0.0480468,-0.0210691,0.0306733,0.0517424,1.3204004,1.3159514,1.3181759,0.004449,0.9451792,0.8052187,0.8751989,0.1399605,1.1789813,1.5551011,0.5616338,0.7144391,0.4833091,1.0,0.9451792,0.5708947,0.8870007,1.3835576,1.1321394,1.2164615,1.5133244,0.9605915,0.4963671,0.8052187,0.9879451,1.310973,1.5674662,1.3891537,0.8683145,1.7013099,0.4856096,1.0770597,1.6639146,1.7846107,1.6487386,1.3322393,1.7808822,0.9691447,1.6517396,1.5766444,1.5366383,1.5655622,1.4696431,0.8829107,0.9276093,0.7144391,1.5507024,1.6730178,0.6959379,0.3721039,1.3204004,1.7388284,0.4109926,1.7063291,1.3159514,1.5597737,1.604537,1.7695525,alegria
0.4045428,0.2740776,0.3393102,0.1304651,0.1853577,1.0489832,0.1944371,0.0194368,0.0348134,0.0153766,1.2546473,1.2867462,1.2706968,0.032099,0.8944853,0.8206198,0.8575526,0.0738655,1.2149717,1.4235975,0.5694869,0.6088951,0.4805953,1.0,0.8944853,0.5115841,0.9142334,1.3398356,0.8801449,1.032315,1.8671195,1.1140312,0.4834688,0.8206198,0.9082196,0.8634279,1.3500614,1.0425238,1.0746147,1.9157499,0.4893216,0.8430225,1.2363694,1.4714401,1.2208608,1.5090544,1.9421241,0.8100375,1.4013221,1.2545204,1.1844024,1.8326124,1.5889455,0.9468879,0.9648691,0.6088951,1.8887605,1.9321411,1.0489832,0.5934686,1.2546473,2.047314,0.5764956,2.0078885,1.2867462,1.7458604,1.7667005,2.3802222,alegria
0.4315929,0.2715945,0.3515937,0.1599984,0.1619039,1.0801244,0.1748763,0.0099596,0.0030929,0.0068668,1.3268856,1.3928259,1.3598557,0.0659404,0.9072218,0.8723889,0.8898054,0.0348329,1.3203193,1.4582015,0.5495777,0.6340462,0.5188896,1.0,0.9072218,0.5695201,0.9618669,1.4613789,1.0718246,1.1704698,1.8433783,1.1403658,0.5471421,0.8723889,0.9640436,1.0246467,1.4903025,1.1693378,1.0646055,1.9378705,0.4802743,0.9940687,1.4667545,1.6896621,1.4324549,1.5468146,1.9791429,0.9905513,1.633584,1.528548,1.4323457,1.8590185,1.6474531,0.9796995,1.0096332,0.6340462,1.8922691,1.9582607,1.0801244,0.5997755,1.3268856,2.1315987,0.6050701,2.0619388,1.3928259,1.7871629,1.8521026,2.3599358,alegria
0.5381578,0.3785519,0.4583549,0.1596059,0.2787991,0.8881514,0.2476158,-0.0065885,0.0242229,0.0308114,1.5061763,1.4213465,1.4637614,0.0848299,0.8758409,0.8884373,0.8821391,0.0125963,1.2219086,1.4398206,0.4960493,0.6557628,0.5103933,1.0,0.8758409,0.5389041,0.9738664,1.4894673,1.0940535,1.2153053,1.9418446,1.0029602,0.5471135,0.8884373,1.0159375,1.1232498,1.4195468,1.2462185,1.1454458,1.785947,0.4848571,1.0365183,1.5498372,1.6286461,1.4911732,1.6184223,1.7921291,0.9872062,1.6776171,1.4859597,1.4566894,1.9639576,1.4839161,1.0194806,0.9241475,0.6557628,2.0304002,1.8435275,0.8881514,0.5923241,1.5061763,2.0168138,0.4636353,2.0840806,1.4213465,1.9557911,1.784326,2.3223613,alegria
0.4310891,0.2001565,0.3156228,0.2309326,0.2032175,1.064245,0.2162732,0.0418251,0.0957848,0.0539597,1.1217223,1.1350043,1.1283633,0.0132819,0.9039085,0.8852748,0.8945916,0.0186337,1.1494267,1.4989859,0.5682302,0.6318979,0.5067884,1.0,0.9039085,0.5612234,0.9312173,1.3323225,0.9230322,1.0535171,1.8081995,1.1279759,0.5361186,0.8852748,0.8995803,0.9004377,1.419784,1.0533284,1.0609068,1.9089783,0.499949,0.9124129,1.3501596,1.5934551,1.3137134,1.5532167,1.96903,0.9463628,1.5308848,1.4137129,1.3315457,1.8639867,1.6387347,0.9664868,1.0546897,0.6318979,1.8067369,1.9082894,1.064245,0.5653717,1.1217223,1.9168365,0.6503777,1.9177906,1.1350043,1.6122591,1.6843991,2.2580018,alegria
0.5182676,0.3284564,0.423362,0.1898112,0.0841829,0.9139703,0.0769407,0.0367002,-0.0101709,0.0468711,1.3865942,1.377222,1.3819081,0.0093722,0.8779028,0.9039254,0.8909141,0.0260227,1.4390193,1.1372466,0.5388406,0.6980801,0.4984163,1.0,0.8779028,0.5309522,0.9486804,1.4235582,1.0923057,1.173776,1.947117,1.1583356,0.5382844,0.9039254,0.9407534,1.045663,1.4441552,1.1557425,1.1867949,1.9175618,0.5081359,0.875109,1.4237489,1.6026148,1.3677753,1.6993714,1.9827988,0.883902,1.5871517,1.4603604,1.3807084,2.0328917,1.6669184,0.9781212,0.9975885,0.6980801,1.9693036,1.936959,0.9139703,0.4987759,1.3865942,1.9909824,0.5181163,2.0409608,1.377222,1.7892452,1.7686251,2.3594762,alegria
0.4224052,0.1502988,0.286352,0.2721064,0.1395932,0.747371,0.1043279,-0.0101496,-0.0124856,0.002336,1.3828962,1.2932304,1.3380633,0.0896658,0.8292792,0.8716531,0.8504661,0.0423739,1.3277271,1.3627755,0.513436,0.5154056,0.391704,1.0,0.8292792,0.478908,0.8778992,1.3076073,0.9668775,1.0516179,1.8108924,0.8806337,0.5155793,0.8716531,0.9395303,0.9391962,1.2653373,1.0690805,0.9835147,1.641954,0.4769822,0.9507021,1.3120274,1.4243938,1.2741627,1.4216371,1.6043282,0.9094815,1.4448926,1.2974888,1.254533,1.7773096,1.3014325,0.8115049,0.7392416,0.5154056,1.8242782,1.6285422,0.747371,0.4691998,1.3828962,1.7785418,0.3734647,1.8936181,1.2932304,1.7340729,1.5603745,2.1171739,alegria
0.5120709,0.3423603,0.4272156,0.1697106,0.0725793,0.8367092,0.0607278,0.0195484,0.0200723,0.0005239,1.3753669,1.3735585,1.3744627,0.0018085,0.880002,0.8979663,0.8889841,0.0179643,1.2160621,1.2788884,0.5078493,0.7063988,0.4896004,1.0,0.880002,0.5206004,0.9681208,1.3966199,1.0914126,1.2062877,1.9081265,1.1327773,0.5256258,0.8979663,0.9378051,1.0312386,1.4048704,1.1698048,1.1550008,1.8659512,0.516754,0.866106,1.3882581,1.5643833,1.3716447,1.6574288,1.9469117,0.8937599,1.5528055,1.4384725,1.3971162,1.9890097,1.6346608,0.9456481,0.9769908,0.7063988,1.9343726,1.92399,0.8367092,0.4630171,1.3753669,1.9162463,0.4905228,1.9681823,1.3735585,1.7689148,1.7605557,2.2534426,alegria
